"Altitude","Density"
3660,0.00213282
3670,0.00213218
3680,0.00213154
3690,0.0021309
3700,0.00213026
3710,0.00212962
3720,0.00212898
3730,0.00212834
3740,0.0021277
3750,0.00212706
3760,0.00212642
3770,0.00212578
3780,0.00212515
3790,0.00212451
3800,0.00212387
3810,0.00212323
3820,0.00212259
3830,0.00212196
3840,0.00212132
3850,0.00212068
3860,0.00212004
3870,0.00211941
3880,0.00211877
3890,0.00211813
3900,0.0021175
3910,0.00211686
3920,0.00211622
3930,0.00211559
3940,0.00211495
3950,0.00211431
3960,0.00211368
3970,0.00211304
3980,0.00211241
3990,0.00211177
4000,0.00211114
4010,0.0021105
4020,0.00210987
4030,0.00210923
4040,0.0021086
4050,0.00210796
4060,0.00210733
4070,0.00210669
4080,0.00210606
4090,0.00210542
4100,0.00210479
4110,0.00210416
4120,0.00210352
4130,0.00210289
4140,0.00210226
4150,0.00210162
4160,0.00210099
4170,0.00210036
4180,0.00209973
4190,0.00209909
4200,0.00209846
4210,0.00209783
4220,0.0020972
4230,0.00209656
4240,0.00209593
4250,0.0020953
4260,0.00209467
4270,0.00209404
4280,0.00209341
4290,0.00209278
4300,0.00209214
4310,0.00209151
4320,0.00209088
4330,0.00209025
4340,0.00208962
4350,0.00208899
4360,0.00208836
4370,0.00208773
4380,0.0020871
4390,0.00208647
4400,0.00208584
4410,0.00208521
4420,0.00208458
4430,0.00208396
4440,0.00208333
4450,0.0020827
4460,0.00208207
4470,0.00208144
4480,0.00208081
4490,0.00208018
4500,0.00207956
4510,0.00207893
4520,0.0020783
4530,0.00207767
4540,0.00207705
4550,0.00207642
4560,0.00207579
4570,0.00207516
4580,0.00207454
4590,0.00207391
4600,0.00207328
4610,0.00207266
4620,0.00207203
4630,0.00207141
4640,0.00207078
4650,0.00207015
4660,0.00206953
4670,0.0020689
4680,0.00206828
4690,0.00206765
4700,0.00206703
4710,0.0020664
4720,0.00206578
4730,0.00206515
4740,0.00206453
4750,0.0020639
4760,0.00206328
4770,0.00206266
4780,0.00206203
4790,0.00206141
4800,0.00206078
4810,0.00206016
4820,0.00205954
4830,0.00205891
4840,0.00205829
4850,0.00205767
4860,0.00205704
4870,0.00205642
4880,0.0020558
4890,0.00205518
4900,0.00205455
4910,0.00205393
4920,0.00205331
4930,0.00205269
4940,0.00205207
4950,0.00205145
4960,0.00205082
4970,0.0020502
4980,0.00204958
4990,0.00204896
5000,0.00204834
5010,0.00204772
5020,0.0020471
5030,0.00204648
5040,0.00204586
5050,0.00204524
5060,0.00204462
5070,0.002044
5080,0.00204338
5090,0.00204276
5100,0.00204214
5110,0.00204152
5120,0.0020409
5130,0.00204028
5140,0.00203966
5150,0.00203905
5160,0.00203843
5170,0.00203781
5180,0.00203719
5190,0.00203657
5200,0.00203595
5210,0.00203534
5220,0.00203472
5230,0.0020341
5240,0.00203348
5250,0.00203287
5260,0.00203225
5270,0.00203163
5280,0.00203102
5290,0.0020304
5300,0.00202978
5310,0.00202917
5320,0.00202855
5330,0.00202793
5340,0.00202732
5350,0.0020267
5360,0.00202609
5370,0.00202547
5380,0.00202486
5390,0.00202424
5400,0.00202363
5410,0.00202301
5420,0.0020224
5430,0.00202178
5440,0.00202117
5450,0.00202055
5460,0.00201994
5470,0.00201933
5480,0.00201871
5490,0.0020181
5500,0.00201748
5510,0.00201687
5520,0.00201626
5530,0.00201564
5540,0.00201503
5550,0.00201442
5560,0.00201381
5570,0.00201319
5580,0.00201258
5590,0.00201197
5600,0.00201136
5610,0.00201074
5620,0.00201013
5630,0.00200952
5640,0.00200891
5650,0.0020083
5660,0.00200769
5670,0.00200707
5680,0.00200646
5690,0.00200585
5700,0.00200524
5710,0.00200463
5720,0.00200402
5730,0.00200341
5740,0.0020028
5750,0.00200219
5760,0.00200158
5770,0.00200097
5780,0.00200036
5790,0.00199975
5800,0.00199914
5810,0.00199853
5820,0.00199792
5830,0.00199731
5840,0.00199671
5850,0.0019961
5860,0.00199549
5870,0.00199488
5880,0.00199427
5890,0.00199366
5900,0.00199306
5910,0.00199245
5920,0.00199184
5930,0.00199123
5940,0.00199063
5950,0.00199002
5960,0.00198941
5970,0.0019888
5980,0.0019882
5990,0.00198759
6000,0.00198698
6010,0.00198638
6020,0.00198577
6030,0.00198517
6040,0.00198456
6050,0.00198395
6060,0.00198335
6070,0.00198274
6080,0.00198214
6090,0.00198153
6100,0.00198093
6110,0.00198032
6120,0.00197972
6130,0.00197911
6140,0.00197851
6150,0.0019779
6160,0.0019773
6170,0.0019767
6180,0.00197609
6190,0.00197549
6200,0.00197488
6210,0.00197428
6220,0.00197368
6230,0.00197307
6240,0.00197247
6250,0.00197187
6260,0.00197126
6270,0.00197066
6280,0.00197006
6290,0.00196946
6300,0.00196885
6310,0.00196825
6320,0.00196765
6330,0.00196705
6340,0.00196645
6350,0.00196585
6360,0.00196524
6370,0.00196464
6380,0.00196404
6390,0.00196344
